	Mass	       Radius	   Mag Field	 Alpha_BL	Mdot		Epsilon		GammaPhi	Delta	   Deltanu/1000	      Nu1	   DNu/Nu1	  Delta*R_in	R_in/R_ISCO    R_in/R_*
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    1.91424E-02    1.81954E-02    5.17940E-02    4.23229E-02    3.06403E-01    5.07843E-01    6.03342E-01    1.46839E-01    7.80246E+00    3.15409E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    1.91424E-02    1.08796E-02    3.37554E-02    2.53061E-02    3.21020E-01    5.56863E-01    5.76479E-01    8.77993E-02    7.80246E+00    3.15409E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.00916E-02    1.51275E-02    4.21090E-02    3.51868E-02    3.20837E-01    5.18627E-01    6.18628E-01    1.20404E-01    7.69532E+00    3.11077E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.04081E-02    2.14931E-02    6.47822E-02    4.99935E-02    3.04109E-01    5.32353E-01    5.71254E-01    1.70308E-01    7.66104E+00    3.09692E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.04081E-02    1.50472E-02    4.48390E-02    3.50001E-02    3.20719E-01    5.46078E-01    5.87314E-01    1.19232E-01    7.66104E+00    3.09692E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.04081E-02    1.87995E-02    6.38085E-02    4.37281E-02    3.04920E-01    5.81373E-01    5.24483E-01    1.48964E-01    7.66104E+00    3.09692E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.04081E-02    1.28901E-02    3.61605E-02    2.99827E-02    3.27947E-01    5.30392E-01    6.18311E-01    1.02139E-01    7.66104E+00    3.09692E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.10409E-02    2.31420E-02    7.00760E-02    5.38287E-02    3.03648E-01    5.36275E-01    5.66217E-01    1.81780E-01    7.59449E+00    3.07001E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.13573E-02    1.78139E-02    5.27650E-02    4.14355E-02    3.20298E-01    5.47059E-01    5.85491E-01    1.39333E-01    7.56217E+00    3.05695E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.13573E-02    2.08261E-02    6.48450E-02    4.84419E-02    3.10039E-01    5.55882E-01    5.57742E-01    1.62893E-01    7.56217E+00    3.05695E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.16737E-02    2.16135E-02    7.31636E-02    5.02733E-02    3.04890E-01    5.86275E-01    5.20046E-01    1.68343E-01    7.53046E+00    3.04413E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.16737E-02    1.95169E-02    5.80189E-02    4.53967E-02    3.17833E-01    5.47059E-01    5.80985E-01    1.52013E-01    7.53046E+00    3.04413E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.16737E-02    1.70288E-02    5.08941E-02    3.96094E-02    3.23922E-01    5.55882E-01    5.82717E-01    1.32634E-01    7.53046E+00    3.04413E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.16737E-02    2.43584E-02    7.60901E-02    5.66582E-02    3.02389E-01    5.50000E-01    5.49798E-01    1.89723E-01    7.53046E+00    3.04413E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.16737E-02    2.15500E-02    7.15021E-02    5.01257E-02    3.06310E-01    5.79412E-01    5.28657E-01    1.67848E-01    7.53046E+00    3.04413E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.19901E-02    1.77947E-02    5.67168E-02    4.13909E-02    3.20933E-01    5.80392E-01    5.52959E-01    1.38027E-01    7.49935E+00    3.03155E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.19901E-02    2.35848E-02    7.67239E-02    5.48588E-02    3.03728E-01    5.69608E-01    5.33223E-01    1.82938E-01    7.49935E+00    3.03155E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.23065E-02    2.04527E-02    6.89748E-02    4.75733E-02    3.12298E-01    5.96078E-01    5.23921E-01    1.57997E-01    7.46880E+00    3.01920E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.26229E-02    2.22383E-02    8.01514E-02    5.17267E-02    3.04460E-01    6.17647E-01    4.92935E-01    1.71101E-01    7.43880E+00    3.00708E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.26229E-02    1.92546E-02    6.63576E-02    4.47867E-02    3.16467E-01    6.11765E-01    5.17302E-01    1.48145E-01    7.43880E+00    3.00708E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.26229E-02    2.51558E-02    9.27286E-02    5.85128E-02    2.93512E-01    6.14706E-01    4.77484E-01    1.93548E-01    7.43880E+00    3.00708E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.29393E-02    2.18520E-02    8.32173E-02    5.08281E-02    3.03593E-01    6.43137E-01    4.72050E-01    1.67463E-01    7.40934E+00    2.99517E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.29393E-02    2.25926E-02    8.51313E-02    5.25508E-02    3.01917E-01    6.36275E-01    4.74507E-01    1.73139E-01    7.40934E+00    2.99517E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.29393E-02    2.28461E-02    8.49440E-02    5.31405E-02    3.02081E-01    6.30392E-01    4.79195E-01    1.75081E-01    7.40934E+00    2.99517E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.29393E-02    2.54889E-02    9.65056E-02    5.92876E-02    2.91957E-01    6.26471E-01    4.66034E-01    1.95334E-01    7.40934E+00    2.99517E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.29393E-02    2.18552E-02    7.97822E-02    5.08356E-02    3.06601E-01    6.27451E-01    4.88645E-01    1.67488E-01    7.40934E+00    2.99517E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.32557E-02    2.57049E-02    1.01787E-01    5.97902E-02    2.89024E-01    6.45098E-01    4.48031E-01    1.96221E-01    7.38040E+00    2.98347E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.48619E-02    9.88397E-02    5.78293E-02    2.93314E-01    6.53922E-01    4.48546E-01    1.89054E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.36529E-02    9.36960E-02    5.50171E-02    2.97871E-01    6.57843E-01    4.52800E-01    1.79860E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.03965E-02    7.85289E-02    4.74426E-02    3.11308E-01    6.60784E-01    4.71119E-01    1.55098E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    1.99511E-02    7.72297E-02    4.64067E-02    3.12459E-01    6.64706E-01    4.70071E-01    1.51711E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.22568E-02    8.90580E-02    5.17697E-02    3.01980E-01    6.67647E-01    4.52305E-01    1.69244E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    1.86568E-02    7.21413E-02    4.33962E-02    3.16967E-01    6.69608E-01    4.73362E-01    1.41869E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.26766E-02    9.31034E-02    5.27461E-02    2.98396E-01    6.75490E-01    4.41747E-01    1.72436E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.13397E-02    7.96396E-02    4.96365E-02    3.10324E-01    6.45098E-01    4.81049E-01    1.62270E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.44156E-02    9.47412E-02    5.67911E-02    2.96945E-01    6.47059E-01    4.58915E-01    1.85660E-01    7.35196E+00    2.97197E+00
