         Source          State           Mass         Radius      Mag Field         Nustar         R_ISCO   R_Alfven_min   R_Alfven_max           R_CO   Fastness_min   Fastness_max
0614+09 nu_1.txt    SubKepler      9.01042E-01    1.11373E+06    4.90000E+07    4.15000E+02    8.01326E+05    2.29604E+06    2.54863E+06    2.60504E+06    8.81384E-01    9.78343E-01
1608-52 nu_1.txt    SubKepler      1.40104E+00    1.08798E+06    4.60000E+07    6.19000E+02    1.24599E+06    1.28230E+06    2.29360E+06    2.31183E+06    5.54668E-01    9.92117E-01
1636-53 nu_1.txt    SubKepler      1.40625E+00    1.08155E+06    6.70000E+07    5.81000E+02    1.25062E+06    1.26541E+06    2.40605E+06    2.41455E+06    5.24079E-01    9.96482E-01
1702-42 nu_1.txt    SubKepler      1.05208E+00    1.11052E+06    9.00000E+07    3.30000E+02    9.35653E+05    2.10453E+06    2.10453E+06    3.19600E+06    6.58490E-01    6.58490E-01
1705-44 nu_1.txt    SubKepler      1.05208E+00    1.11052E+06    1.00000E+08    2.98000E+02    9.35653E+05    1.39302E+06    1.47038E+06    3.42088E+06    4.07211E-01    4.29825E-01
1728-34 nu_1.txt    SubKepler      1.20312E+00    1.10086E+06    6.40000E+07    3.63000E+02    1.06998E+06    1.54796E+06    1.59481E+06    3.13640E+06    4.93545E-01    5.08484E-01
1735-44 nu_1.txt    SubKepler      9.47917E-01    1.11052E+06    8.00000E+07    3.13000E+02    8.43014E+05    1.53933E+06    1.68338E+06    3.19761E+06    4.81400E-01    5.26450E-01
1820-30 nu_1.txt    SubKepler      1.05208E+00    1.11052E+06    1.50000E+08    2.73000E+02    9.35653E+05    1.75791E+06    1.96957E+06    3.62666E+06    4.84720E-01    5.43079E-01
Aql X-1 nu_1.txt    SubKepler      1.05208E+00    1.11052E+06    3.00000E+07    5.49000E+02    9.35653E+05    1.26164E+06    1.75796E+06    2.27632E+06    5.54246E-01    7.72278E-01
CygX-2 nu_1.txt     SubKepler      1.05208E+00    1.11052E+06    4.40000E+08    3.24000E+02    9.35653E+05    1.95904E+06    2.14636E+06    3.23533E+06    6.05513E-01    6.63412E-01
GX5-1 nu_1.txt      SubKepler      8.02083E-01    1.12339E+06    9.00000E+08    3.18000E+02    7.13319E+05    2.39168E+06    2.83372E+06    2.99264E+06    7.99189E-01    9.46899E-01
GX17+2 nu_1.txt     SubKepler      8.02083E-01    1.12339E+06    7.00000E+08    2.82000E+02    7.13319E+05    2.34098E+06    2.38058E+06    3.24220E+06    7.22036E-01    7.34250E-01
KS1731-260 nu_1.txt SubKepler      1.05208E+00    1.11052E+06    8.00000E+07    5.24000E+02    9.35653E+05    1.24004E+06    1.24004E+06    2.34816E+06    5.28091E-01    5.28091E-01
ScoX-1 nu_1.txt     SubKepler      1.05208E+00    1.11052E+06    3.80000E+08    2.87000E+02    9.35653E+05    1.76035E+06    1.77022E+06    3.50774E+06    5.01847E-01    5.04661E-01
XTE J1701-462 nu_1.tSubKepler      1.50000E+00    1.07189E+06    1.70000E+08    2.58000E+02    1.33400E+06    1.67577E+06    3.50298E+06    4.23854E+06    3.95366E-01    8.26459E-01
